month,temperature,rainfall,humidity,cases,outbreak
1,21.6,0.0,67.5,3,0
2,21.8,2.0,73.5,17,0
3,19.8,18.0,90.5,20,0
4,20.5,0.0,82.0,39,0
5,19.6,0.3,73.5,45,0
6,18.1,0.0,75.0,51,0
7,15.1,0.0,83.5,64,0
8,17.3,0.0,85.5,66,0
9,18.3,0.3,78.5,76,0
10,19.4,0.0,77.5,82,0
11,15.6,0.0,91.0,94,0
12,15.4,0.0,92.5,97,0
13,17.9,0.0,85.0,107,0
14,18.4,0.0,91.5,108,0
15,20.1,0.0,86.5,112,0
16,21.4,0.0,85.5,112,0
17,22.4,0.0,72.5,112,0
18,22.8,0.0,69.0,114,0
19,22.2,0.0,79.0,118,0
20,20.0,0.0,69.0,119,0
21,18.6,0.0,62.0,123,0
22,19.3,0.0,55.5,125,0
23,18.6,0.0,60.5,128,0
24,18.9,0.0,59.5,128,0
25,17.9,0.0,53.0,131,0
26,18.2,0.0,60.0,131,0
27,17.9,0.0,67.5,139,0
28,18.3,0.3,70.5,142,0
29,18.8,1.0,80.0,142,0
30,20.5,0.0,81.0,145,0
31,21.0,0.0,85.0,147,0
32,20.5,0.0,59.0,147,0
33,18.75,0.0,44.0,149,0
34,17.65,0.0,40.5,153,0
35,19.35,0.0,52.5,158,0
36,20.4,0.0,44.5,159,0
37,20.15,0.0,42.0,159,0
38,19.75,0.0,48.5,161,0
39,20.75,0.3,53.0,161,0
40,22.0,0.0,55.0,162,0
41,21.25,0.0,50.5,164,0
42,20.85,0.0,51.0,165,0
43,21.75,0.0,47.5,167,0
44,21.25,0.0,46.5,168,0
45,20.5,0.0,59.5,169,0
46,23.3,0.0,68.0,171,0
47,23.35,0.0,60.0,172,0
48,22.4,0.0,60.0,173,0
49,22.5,0.0,63.5,176,0
50,22.85,0.0,53.5,177,0
51,23.5,0.0,59.0,177,0
52,23.9,0.0,64.0,177,0
53,24.5,0.0,67.5,177,0
54,25.25,0.0,46.0,179,0
55,23.65,0.3,64.0,179,0
56,22.0,1.0,74.5,180,0
57,22.15,0.3,68.5,180,0
58,21.35,0.0,58.0,181,0
59,23.5,0.0,49.0,181,0
60,24.8,0.0,45.5,182,0
61,25.0,0.0,48.0,184,0
62,25.1,0.0,54.0,184,0
63,23.55,14.0,69.5,184,0
64,25.5,12.0,53.5,186,0
65,24.4,0.0,61.0,186,0
66,25.15,0.3,61.5,186,0
67,24.7,0.3,76.0,187,0
68,24.75,1.0,72.5,187,0
69,23.75,0.0,50.5,188,0
70,23.8,0.0,45.5,190,0
71,25.15,0.0,41.0,193,0
72,27.05,0.0,51.0,198,0
73,28.25,0.0,51.5,198,0
74,28.35,0.0,56.0,200,0
75,26.35,0.0,59.0,200,0
76,27.05,0.0,51.0,201,0
77,26.95,0.0,40.5,201,0
78,26.5,0.0,40.5,201,0
79,26.1,0.0,41.0,203,0
80,28.2,3.0,47.0,203,0
81,26.65,0.0,49.5,204,0
82,25.55,0.0,62.5,205,0
83,25.05,0.0,53.5,206,0
84,26.9,0.0,50.0,206,0
85,27.15,0.0,47.0,206,0
86,28.95,0.0,55.0,206,0
87,29.9,0.0,38.5,206,0
88,29.85,0.0,45.5,206,0
89,30.2,0.0,33.0,207,0
90,29.25,0.0,32.5,208,0
91,28.7,0.0,27.0,208,0
92,28.9,0.0,46.0,208,0
93,31.6,2.0,63.5,208,0
94,29.85,0.0,63.5,208,0
95,29.9,0.0,58.5,208,0
96,30.5,0.0,67.0,208,0
97,30.1,0.0,45.5,211,0
98,31.1,0.0,55.5,211,0
99,29.05,0.3,79.5,217,0
100,30.2,0.0,55.5,217,0
101,30.1,0.0,49.5,217,0
102,31.5,2.0,56.5,218,0
103,26.15,0.3,65.0,219,0
104,28.95,0.0,50.5,221,0
105,31.15,0.0,65.0,223,0
106,30.2,3.0,72.5,224,0
107,27.65,0.0,60.5,225,0
108,29.45,0.0,76.5,225,0
109,29.9,5.0,71.5,226,0
110,28.1,3.0,57.5,226,0
111,26.85,0.3,74.0,226,0
112,27.1,1.0,74.5,227,0
113,28.2,0.3,66.0,227,0
114,28.05,47.0,86.0,227,0
115,26.45,20.0,83.5,227,0
116,26.5,0.3,88.0,227,0
117,26.8,40.0,79.0,227,0
118,26.45,0.0,69.5,227,0
119,26.9,4.0,89.5,229,0
120,26.7,0.0,75.5,230,0
121,27.6,1.0,78.5,231,0
122,26.2,12.0,86.0,231,0
123,26.05,10.0,81.5,231,0
124,27.85,0.0,72.5,231,0
125,29.25,0.0,71.5,232,0
126,31.1,0.3,69.5,232,0
127,26.65,18.0,86.5,232,0
128,28.05,15.0,67.5,232,0
129,27.15,12.0,70.0,232,0
130,28.8,0.0,69.5,232,0
131,30.45,4.0,53.5,232,0
132,29.35,0.0,68.0,232,0
133,31.05,0.0,56.5,233,0
134,31.75,19.0,79.0,234,0
135,29.75,1.0,79.5,234,0
136,30.1,5.0,85.5,234,0
137,30.45,0.0,76.0,235,0
138,31.05,0.0,76.5,235,0
139,32.3,0.0,60.0,235,0
140,31.95,7.0,78.5,235,0
141,27.15,74.0,90.5,236,0
142,27.7,1.0,86.5,236,0
143,28.45,0.0,85.0,236,0
144,30.25,0.0,79.0,236,0
145,30.4,0.0,79.0,236,0
146,30.9,0.0,76.5,237,0
147,30.2,63.0,79.5,237,0
148,24.15,56.0,98.0,238,0
149,26.2605,0.3,79.5,238,0
150,29.0,0.3,84.5,238,0
151,27.5,3.0,84.5,239,0
152,30.3,0.0,71.5,239,0
153,30.3,1.0,57.5,239,0
154,30.8,0.0,65.5,239,0
155,30.3,22.0,75.0,239,0
156,30.35,40.0,86.0,239,0
157,29.0,10.0,80.5,239,0
158,30.2,2.0,84.0,239,0
159,31.15,0.0,68.0,239,0
160,30.6,3.0,76.5,240,0
161,31.6,5.0,69.5,241,0
162,30.15,2.0,81.0,242,0
163,29.2,3.0,86.0,243,0
164,29.4,13.0,83.5,243,0
165,27.45,22.0,92.5,243,0
166,30.15,5.0,74.0,243,0
167,30.85,0.0,75.5,243,0
168,30.8,4.0,78.0,244,0
169,27.9,24.0,92.0,244,0
170,28.95,6.0,90.0,244,0
171,28.6,89.0,84.5,244,0
172,29.75,1.0,77.0,246,0
173,28.85,5.0,86.0,247,0
174,30.1,0.3,78.0,247,0
175,30.8,0.0,76.5,249,0
176,32.05,0.0,74.0,249,0
177,31.6,0.0,72.5,252,0
178,31.0,0.0,73.0,252,0
179,30.6,0.3,98.0,252,0
180,27.25,14.0,79.5,253,0
181,29.35,0.0,80.5,253,0
182,30.55,0.3,80.5,257,0
183,31.9,0.0,70.5,257,0
184,31.85,0.0,73.5,257,0
185,31.95,0.0,73.5,257,0
186,31.1,24.0,85.0,257,0
187,28.9,13.0,79.5,258,0
188,29.6,4.0,83.0,258,0
189,30.25,1.0,83.0,258,0
190,30.85,0.0,78.5,258,0
191,31.35,22.0,89.5,260,0
192,30.25,0.0,83.0,260,0
193,30.05,30.0,94.0,260,0
194,28.6,24.0,94.5,261,0
195,29.25,0.3,81.5,263,0
196,29.4,4.0,87.0,263,0
197,30.1,0.0,83.0,263,0
198,30.75,0.3,73.0,264,0
199,30.4,10.0,92.0,264,0
200,30.5,20.0,87.0,264,0
201,30.25,19.0,78.5,266,0
202,27.65,87.0,95.5,266,0
203,27.1,43.0,91.5,267,0
204,27.7,46.0,91.5,267,0
205,29.2,0.3,78.5,267,0
206,29.85,0.3,86.0,268,0
207,30.65,0.0,72.5,270,0
208,31.25,0.0,77.0,271,0
209,31.3,0.0,83.0,271,0
210,30.1,42.0,84.0,273,0
211,27.55,15.0,91.0,275,1
212,30.3,0.3,74.5,277,1
213,31.45,0.3,90.5,277,1
214,31.45,20.0,81.0,277,1
215,31.2,18.0,91.5,282,1
216,31.55,10.0,78.0,283,1
217,30.8,26.0,85.5,283,1
